BUILDING,NODE,TYPE,FLOOR,EXIT Floors,ON/OFF (Accessible),IF DOOR: RAMP?,IF DOOR: BUTTON?,IF EXIT: WHERE?,NOTES
FINE ARTS,FINEARTS_D12,DOOR,3,,NO,NO,NO,BACK,
FINE ARTS,FINEARTS_D13,DOOR,3,,NO,NO,NO,BACK,
FINE ARTS,FINEARTS_D14,DOOR,2,,NO,YES,NO,RIGHT TO ROAD,
FINE ARTS,FINEARTS_D15,DOOR,2,,NO,YES,NO,RIGHT TO ROAD,
FINE ARTS,FINEARTS_D16,DOOR,2,,NO,YES,NO,RIGHT TO ROAD,
PAHB,PAHB_D1,DOOR,1,,YES,YES,YES,FRONT,
PAHB,PAHB_D2,DOOR,1,,NO,YES,NO,FRONT,
PAHB,PAHB_D3,DOOR,1,,NO,YES,NO,FRONT,
PAHB,PAHB_D4,DOOR,1,,YES,YES,YES,RIGHT TO ROAD,
PAHB,PAHB_D5,DOOR,1,,NO,YES,NO,RIGHT TO ROAD,
PAHB,PAHB_D6,DOOR,1,,NO,YES,NO,RIGHT TO ROAD,
PAHB,PAHB_D7,DOOR,1,,NO,YES,NO,RIGHT TO ROAD,
PAHB,PAHB_D8,DOOR,1,,NO,YES,NO,RIGHT TO ROAD,
PAHB,PAHB_D9,DOOR,1,,NO,YES,NO,RIGHT TO ROAD,
PAHB,PAHB_D10,DOOR,1,,NO,NO,NO,LEFT TO ROAD,
PAHB,PAHB_D11,DOOR,1,,NO,NO,NO,LEFT TO ROAD,
PAHB,PAHB_D12,DOOR,1,,NO,NO,NO,LEFT TO ROAD,
PAHB,PAHB_E1,ELEVATOR,1234,12,,,,,
PAHB,PAHB_D13,DOOR,2,,YES,YES,NO,RIGHT TO ROAD,"D13&14&15 are next to each other, so can count as one accessible exit"
PAHB,PAHB_D14,DOOR,2,,NO,YES,NO,RIGHT TO ROAD,
PAHB,PAHB_D15,DOOR,2,,NO,YES,NO,RIGHT TO ROAD,
PAHB,PAHB_E2,ELEVATOR,1234,12,,,,,
UC,UC_D1,DOOR,3,,YES,NO,YES,BACK TO ENG,D1&2&3&4 are next to each other so could count as one accessible exit
UC,UC_D2,DOOR,3,,NO,NO,YES,BACK TO ENG,
UC,UC_D3,DOOR,3,,NO,NO,YES,BACK TO ENG,
UC,UC_D4,DOOR,3,,NO,NO,YES,BACK TO ENG,
UC,UC_E1,ELEVATOR,123,123,,,,,
UC,UC_D5,DOOR,2,,YES,NO,YES,RIGHT TO MEYERHOFF,D5&6 are next to each other and can count as one accessible entrance
UC,UC_D6,DOOR,2,,NO,NO,NO,RIGHT TO MEYERHOFF,Accessible only from Meyerhoff
UC,UC_D7,DOOR,2,,YES,NO,YES,LEFT TO SHERMAN,Accessible only from Sherman
UC,UC_D8,DOOR,1,,NO,NO,NO,FRONT,D8&9&10 are next to each other and can count as a single accessible entrance
UC,UC_D8,DOOR,1,,NO,NO,NO,FRONT,D8&9&10 are next to each other and can count as a single accessible entrance
UC,UC_D9,DOOR,1,,YES,NO,YES,FRONT,
UC,UC_D11,DOOR,1,,YES,NO,YES,FRONT,
ADMIN,ADMIN_D1,DOOR,1,,NO,NO,NO,FRONT,D1&2&3&4 are next to each other and can count as an accessible entrance
ADMIN,ADMIN_D2,DOOR,1,,YES,NO,YES,FRONT,
ADMIN,ADMIN_D3,DOOR,1,,NO,NO,NO,FRONT,
ADMIN,ADMIN_D4,DOOR,1,,NO,NO,,FRONT,
ADMIN,ADMIN_D5,DOOR,1,,YES,NO,YES,LEFT,
ADMIN,ADMIN_E1,ELEVATOR,B12345678910,1B,,,,,
